Root,Word,Count
عبد,عبدى,1
عبد,فليعبدوا,1
عبد,عابد,1
عبد,عبدتم,1
عون,نستعين,1
عون,واستعينوا,1
عون,عوان,1
عون,استعينوا,2
عون,وتعاونوا,1
عون,تعاونوا,1
عون,المستعان,2
عون,فاعينونى,1
عون,واعانه,1
عون,الماعون,1
هدي,اهدنا,1
هدي,هدى,39
هدي,بالهدى,7
هدي,مهتدين,3
هدي,ويهدى,9
هدي,هداى,2
هدي,تهتدون,6
هدي,لمهتدون,2
هدي,وهدى,16
هدي,الهدى,26
هدي,تهتدوا,2
هدي,اهتدوا,4
هدي,يهدى,44
هدي,المهتدون,1
هدي,والهدى,3
هدي,يهتدون,10
هدي,هدىكم,4
هدي,فهدى,3
هدي,هدىهم,4
هدي,هديتنا,1
هدي,ويهديكم,2
هدي,اهدى,6
هدي,ولهدينهم,1
هدي,تهدوا,1
هدي,ليهديهم,2
هدي,ويهديهم,2
هدي,هديۢا,1
هدي,اهتديتم,1
هدي,المهتدين,2
هدي,هدىنا,5
هدي,يهدنى,1
هدي,هدىن,1
هدي,مهتدون,5
هدي,هدينا,3
هدي,وهدينهم,1
هدي,فبهدىهم,1
هدي,لتهتدوا,1
هدي,بالمهتدين,4
هدي,يهديه,2
هدي,لهدىكم,2
هدي,هدىنى,2
هدي,لنهتدى,1
هدي,يهد,8
هدي,يهديهم,3
هدي,وتهدى,1
هدي,يهدون,4
هدي,المهتدى,1
هدي,هادى,1
هدي,تهدى,3
هدي,اهتدى,7
هدي,يهتدى,3
هدي,هاد,5
هدي,لهدى,2
هدي,لهدينكم,1
هدي,وهدىه,1
هدي,المهتد,2
هدي,يهدين,2
هدي,يهتدوا,2
هدي,اهدك,1
هدي,ويهديه,1
هدي,وهدوا,2
هدي,لهاد,1
هدي,هاديا,1
هدي,سيهدين,3
هدي,بهدية,1
هدي,بهديتكم,1
هدي,اتهتدى,1
هدي,يهديكم,1
هدي,بهدى,1
هدي,يهدينى,1
هدي,لنهدينهم,1
هدي,بهد,1
هدي,هدىها,1
هدي,اهتديت,1
هدي,فاهدوهم,1
هدي,وهدينهما,1
هدي,واهدنا,1
هدي,اهديكم,1
هدي,اهدكم,1
هدي,فهدينهم,1
هدي,نهدى,1
هدي,لتهدى,1
هدي,باهدى,1
هدي,سيهديهم,1
هدي,ويهديك,1
هدي,مهتد,1
هدي,يهدوننا,1
هدي,هدينه,1
هدي,واهديك,1
هدي,وهدينه,1
هدي,للهدى,1
صرط,الصرط,6
صرط,صرط,32
صرط,صرطا,5
صرط,صرطى,1
صرط,صرطك,1
قوم,المستقيم,5
قوم,ويقيمون,2
قوم,قاموا,4
قوم,واقيموا,11
قوم,لقومه,13
قوم,يقوم,43
قوم,القيمة,71
قوم,لقوم,51
قوم,مقام,7
قوم,مستقيم,26
قوم,واقام,4
قوم,يقيما,3
قوم,وقوموا,1
قوم,القوم,62
قوم,القيوم,3
قوم,يقومون,1
قوم,واقاموا,8
قوم,واقوم,3
قوم,قائمۢا,1
قوم,قائم,3
قوم,قائما,3
قوم,قوما,35
قوم,قائمة,5
قوم,قوم,76
قوم,قيما,6
قوم,قومون,1
قوم,مستقيما,6
قوم,قومۭ,3
قوم,قومهم,7
قوم,فاقمت,1
قوم,فلتقم,1
قوم,فاقيموا,3
قوم,تقوموا,2
قوم,قومين,2
قوم,والمقيمين,1
قوم,قمتم,1
قوم,اقمتم,1
قوم,مقيم,8
قوم,بقوم,3
قوم,يقيمون,4
قوم,اقاموا,2
قوم,تقيموا,1
قوم,يقومان,1
قوم,مقامهما,1
قوم,قومك,9
قوم,اقيموا,2
قوم,وقومك,1
قوم,قومه,36
قوم,قومنا,2
قوم,وقومه,7
قوم,قومى,5
قوم,استقموا,4
قوم,فاستقيموا,2
قوم,القيم,4
قوم,وقوم,8
قوم,تقم,2
قوم,تقوم,11
قوم,قومۢا,5
قوم,مقامى,2
قوم,للقوم,3
قوم,لقومكما,1
قوم,فاستقيما,1
قوم,اقم,3
قوم,ويقوم,9
قوم,فاستقم,1
قوم,واقم,3
قوم,يقيموا,1
قوم,ليقيموا,1
قوم,اقامتكم,1
قوم,اقوم,1
قوم,مقاما,2
قوم,فاقامه,1
قوم,نقيم,1
قوم,قومها,1
قوم,والقائمين,1
قوم,والمقيمى,1
قوم,وقومهما,2
قوم,وقيما,1
قوم,ومقاما,2
قوم,قواما,1
قوم,ومقام,2
قوم,وقومها,1
قوم,مقامك,1
قوم,وقومهم,1
قوم,فاقم,2
قوم,واقمن,1
قوم,المقامة,1
قوم,وقائما,1
قوم,قيام,2
قوم,واستقم,1
قوم,ولقومك,1
قوم,يقومنا,2
قوم,ليقوم,1
قوم,لقومهم,1
قوم,قائمون,1
قوم,قام,1
قوم,قم,2
قوم,يستقيم,1
قوم,تقويم,1
قوم,قيمة,1
قوم,ويقيموا,1
نعم,انعمت,7
نعم,نعمتى,6
نعم,نعمة,16
نعم,نعمت,8
نعم,فنعما,1
نعم,والانعم,6
نعم,بنعمته,1
نعم,ونعم,4
نعم,بنعمة,4
نعم,نعما,2
نعم,انعم,6
نعم,الانعم,14
نعم,نعمته,4
نعم,النعيم,10
نعم,النعم,1
نعم,وانعم,2
نعم,كالانعم,2
نعم,نعم,5
نعم,انعمها,1
نعم,نعيم,5
نعم,فنعم,5
نعم,ولنعم,1
نعم,افبنعمة,1
نعم,وبنعمت,1
نعم,بانعم,2
نعم,لانعمه,1
نعم,انعمنا,3
نعم,انعمكم,1
نعم,انعما,2
نعم,نعمتك,2
نعم,وبنعمة,1
نعم,نعمه,1
نعم,بنعمت,2
نعم,انعمهم,1
نعم,وانعمت,1
نعم,فلنعم,1
نعم,ونعمة,2
نعم,ونعيم,1
نعم,النعمة,1
نعم,نعيما,1
نعم,ولانعمكم,2
نعم,ناعمة,1
نعم,ونعمه,1
غير,غير,69
غير,بغير,41
غير,لغير,4
غير,غيره,13
غير,افغير,4
غير,غيرها,1
غير,فليغيرن,1
غير,غيركم,4
غير,اغير,4
غير,وغير,5
غير,مغيرا,1
غير,يغيروا,2
غير,يغير,1
غير,غيرى,2
غير,يتغير,1
غير,فالمغيرت,1
غضب,المغضوب,1
غضب,بغضب,4
غضب,غضب,8
غضب,وغضب,4
غضب,غضبن,2
غضب,الغضب,1
غضب,غضبى,2
غضب,مغضبا,1
غضب,غضبوا,1
ضلل,الضالين,6
ضلل,الضللة,6
ضلل,يضل,17
ضلل,ضل,18
ضلل,تضل,2
ضلل,يضلونكم,1
ضلل,يضلون,3
ضلل,الضالون,3
ضلل,ضلل,24
ضلل,تضلوا,2
ضلل,يضلهم,1
ضلل,ضللا,6
ضلل,اضل,11
ضلل,يضلل,12
ضلل,يضلوك,2
ضلل,ولاضلنهم,1
ضلل,ضلوا,9
ضلل,واضل,5
ضلل,واضلوا,1
ضلل,وضلوا,1
ضلل,وضل,8
ضلل,يضلله,1
ضلل,ضللت,2
ضلل,ليضلون,1
ضلل,يضله,2
ضلل,ليضل,5
ضلل,اضلونا,1
ضلل,ضللة,1
ضلل,الضلل,3
ضلل,ليضلوا,2
ضلل,ضللك,1
ضلل,ضللۭ,3
ضلل,فيضل,1
ضلل,ويضل,1
ضلل,اضللن,1
ضلل,يضلونهم,1
ضلل,فضلوا,2
ضلل,المضلين,1
ضلل,واضلهم,1
ضلل,ضالين,2
ضلل,اضللتم,1
ضلل,اضلنى,1
ضلل,ليضلنا,1
ضلل,اضلنا,1
ضلل,ضللتهم,2
ضلل,مضل,2
ضلل,ضللنا,1
ضلل,فاضلونا,1
ضلل,والضلل,1
ضلل,فيضلك,1
ضلل,اضلانا,1
ضلل,واضله,1
ضلل,لضالون,2
ضلل,اضلوا,1
ضلل,يضلوا,1
ضلل,ضالا,1
ضلل,تضليل,1
كتب,الكتب,163
كتب,يكتبون,5
كتب,كتبت,2
كتب,كتب,67
كتب,والكتب,8
كتب,فاكتبوه,1
كتب,وليكتب,1
كتب,كاتبۢ,1
كتب,كاتب,2
كتب,يكتب,2
كتب,فليكتب,1
كتب,تكتبوه,1
كتب,تكتبوها,1
كتب,كاتبا,1
كتب,وكتبه,3
كتب,فاكتبنا,2
كتب,بالكتب,4
كتب,كتبا,12
كتب,سنكتب,2
كتب,كتبنا,4
كتب,وكتب,2
كتب,وكتبنا,2
كتب,بكتب,3
كتب,واكتب,1
كتب,فساكتبها,1
كتب,مكتوبا,1
كتب,كتاب,3
كتب,كتبك,1
كتب,كتبه,5
كتب,كتبهم,1
كتب,كتبون,1
كتب,للكتب,1
كتب,فكاتبوهم,1
كتب,اكتتبها,1
كتب,وكتاب,1
كتب,بكتبى,1
كتب,وبالكتب,1
كتب,ونكتب,1
كتب,بكتبكم,1
كتب,لكتب,1
كتب,ستكتب,1
كتب,كتبها,1
كتب,كتبنها,1
كتب,كتبيه,2
كتب,كتبين,1
ريب,ريب,17
ريب,ترتابوا,1
ريب,ارتبتم,2
ريب,وارتابت,1
ريب,ريبهم,1
ريب,ريبة,1
ريب,مريب,6
ريب,ارتابوا,1
ريب,لارتاب,1
ريب,مريبۭ,1
ريب,مرتاب,1
ريب,يرتابوا,1
ريب,وارتبتم,1
ريب,يرتاب,1
وقي,للمتقين,18
وقي,تتقون,19
وقي,فاتقوا,17
وقي,فاتقون,4
وقي,واتقوا,42
وقي,المتقون,6
وقي,المتقين,23
وقي,يتقون,18
وقي,اتقى,5
وقي,التقوى,6
وقي,واتقون,1
وقي,وقنا,2
وقي,اتق,2
وقي,اتقوا,29
وقي,وتتقوا,8
وقي,للتقوى,4
وقي,وليتق,2
وقي,تتقوا,2
وقي,تقىة,1
وقي,واتقى,2
وقي,تقاته,1
وقي,بالمتقين,2
وقي,فقنا,1
وقي,فليتقوا,1
وقي,والتقوى,2
وقي,واتقوه,4
وقي,ولتتقوا,1
وقي,تقوى,2
وقي,يتق,4
وقي,واق,3
وقي,تقيكم,2
وقي,تقيا,3
وقي,ويتقه,1
وقي,اتقيتن,1
وقي,واتق,1
وقي,واتقين,1
وقي,يتقى,1
وقي,وقهم,2
وقي,تق,1
وقي,فوقىه,1
وقي,ووقىهم,2
وقي,تقوىهم,1
وقي,اتقىكم,1
وقي,ووقىنا,1
وقي,يوق,2
وقي,قوا,1
وقي,فوقىهم,1
وقي,وتقوىها,1
وقي,الاتقى,1
وقي,بالتقوى,1
أمن,يؤمنون,86
أمن,امنا,38
أمن,بمؤمنين,6
أمن,امنوا,263
أمن,امن,28
أمن,انؤمن,3
أمن,وامنوا,7
أمن,نؤمن,10
أمن,يؤمنوا,12
أمن,افتؤمنون,1
أمن,مؤمنين,34
أمن,ايمنكم,6
أمن,للمؤمنين,15
أمن,بالايمن,5
أمن,وامنا,1
أمن,امنتم,13
أمن,وليؤمنوا,1
أمن,يؤمن,27
أمن,مؤمنة,6
أمن,مؤمن,11
أمن,المؤمنين,78
أمن,ويؤمن,2
أمن,تؤمن,3
أمن,اؤتمن,1
أمن,امنته,1
أمن,والمؤمنون,7
أمن,المؤمنون,22
أمن,تؤمنوا,9
أمن,تامنه,2
أمن,لتؤمنن,1
أمن,ايمنهم,6
أمن,وتؤمنون,2
أمن,امنة,3
أمن,للايمن,3
أمن,ايمنا,7
أمن,فـامنوا,6
أمن,فـامنا,2
أمن,المؤمنت,7
أمن,بايمنكم,1
أمن,الامنت,1
أمن,تؤمنون,5
أمن,الامن,2
أمن,يامنوكم,1
أمن,ويامنوا,1
أمن,لمؤمن,2
أمن,مؤمنا,7
أمن,وامنتم,2
أمن,ليؤمنن,2
أمن,بالمؤمنين,6
أمن,مؤمنون,6
أمن,بالامن,1
أمن,ليؤمنوا,4
أمن,ايمنها,3
أمن,امنت,7
أمن,امين,11
أمن,افامن,2
أمن,اوامن,1
أمن,افامنوا,2
أمن,يامن,1
أمن,لنؤمنن,1
أمن,امنتكم,2
أمن,وبالمؤمنين,1
أمن,مامنه,1
أمن,الايمن,7
أمن,والمؤمنت,11
أمن,بايمنهم,1
أمن,لامن,1
أمن,تام۫نا,1
أمن,بمؤمن,1
أمن,امنكم,1
أمن,امنين,7
أمن,وللمؤمنين,4
أمن,ايمنه,2
أمن,افامنتم,1
أمن,فليؤمن,1
أمن,وامن,4
أمن,فيؤمنوا,1
أمن,لامنتهم,2
أمن,للمؤمنت,1
أمن,الامين,3
أمن,امنون,2
أمن,الامنين,1
أمن,فـامن,2
أمن,والايمن,2
أمن,والمؤمنين,1
أمن,الامانة,1
أمن,ويؤمنون,1
أمن,لتؤمنوا,3
أمن,مؤمنت,3
أمن,بايمن,1
أمن,المؤمن,1
أمن,بايمنهن,1
أمن,فـامنت,1
أمن,مامون,1
أمن,وامنهم,1
غيب,بالغيب,12
غيب,غيب,6
غيب,الغيب,28
غيب,للغيب,2
غيب,الغيوب,4
غيب,غائبين,1
غيب,غيبت,2
غيب,الغائبين,1
غيب,غائبة,1
غيب,يغتب,1
غيب,غيبه,1
غيب,بغائبين,1
صلو,الصلوة,58
صلو,والصلوة,3
صلو,مصلى,1
صلو,صلوت,1
صلو,الصلوت,1
صلو,يصلى,2
صلو,يصلوا,1
صلو,فليصلوا,1
صلو,صلاتهم,6
صلو,صلاتى,1
صلو,تصل,1
صلو,وصلوت,2
صلو,وصل,1
صلو,صلوتك,1
صلو,اصلوتك,1
صلو,بصلاتك,1
صلو,بالصلوة,3
صلو,صلوتهم,1
صلو,صلاته,1
صلو,صلوة,2
صلو,يصلون,1
صلو,صلوا,1
صلو,للصلوة,1
صلو,المصلين,2
صلو,صلى,2
صلو,فصلى,1
صلو,للمصلين,1
صلو,فصل,1
رزق,رزقنهم,10
رزق,رزقا,15
رزق,رزقوا,1
رزق,رزقنا,1
رزق,رزقنكم,7
رزق,رزق,6
رزق,وارزق,1
رزق,يرزق,4
رزق,رزقهن,1
رزق,وترزق,1
رزق,يرزقون,2
رزق,وارزقوهم,1
رزق,فارزقوهم,1
رزق,رزقهم,6
رزق,رزقكم,8
رزق,وارزقنا,1
رزق,الرزقين,5
رزق,نرزقكم,1
رزق,الرزق,13
رزق,ورزق,6
رزق,ورزقكم,3
رزق,يرزقكم,5
رزق,ورزقنهم,3
رزق,رزقها,3
رزق,ورزقنى,1
رزق,ترزقانه,1
رزق,وارزقهم,1
رزق,برزقين,1
رزق,ورزقا,1
رزق,رزقنه,1
رزق,نرزقهم,1
رزق,برزق,1
رزق,نرزقك,1
رزق,ليرزقنهم,1
رزق,يرزقها,1
رزق,لرزقنا,1
رزق,الرزاق,1
رزق,ويرزقه,1
رزق,رزقه,4
نفق,ينفقون,20
نفق,وانفقوا,8
نفق,انفقتم,4
نفق,انفقوا,11
نفق,ينفق,5
نفق,تنفقون,2
نفق,نفقة,2
نفق,تنفقوا,8
نفق,والمنفقين,5
نفق,نافقوا,2
نفق,المنفقين,15
نفق,نفقا,1
نفق,فسينفقونها,1
نفق,المنفقون,7
نفق,انفقت,1
نفق,ينفقونها,1
نفق,نفقتهم,1
نفق,والمنفقت,5
نفق,نفاقا,1
نفق,ونفاقا,1
نفق,منفقون,1
نفق,النفاق,1
نفق,وينفقوا,1
نفق,الانفاق,1
نفق,انفق,2
نفق,لتنفقوا,1
نفق,فانفقوا,1
نفق,لينفق,1
نفق,فلينفق,1
نزل,انزل,96
نزل,وانزل,12
نزل,نزلنا,6
نزل,انزلت,9
نزل,وانزلنا,12
نزل,فانزلنا,3
نزل,ينزل,17
نزل,نزله,2
نزل,انزلنا,25
نزل,نزل,22
نزل,تنزل,7
نزل,منزلين,2
نزل,نزلا,6
نزل,انزله,3
نزل,منزلها,1
نزل,انزلنه,14
نزل,سانزل,1
نزل,منزل,1
نزل,وينزل,5
نزل,فانزل,3
نزل,منازل,2
نزل,المنزلين,2
نزل,ننزل,2
نزل,ننزله,1
نزل,ونزلنا,3
نزل,وننزل,1
نزل,لنزلنا,1
نزل,ونزلنه,1
نزل,تنزيلا,4
نزل,نتنزل,1
نزل,لانزل,2
نزل,انزلنى,1
نزل,منزلا,1
نزل,انزلنها,1
نزل,ونزل,1
نزل,لتنزيل,1
نزل,نزلنه,1
نزل,تنزلت,1
نزل,منزلون,1
نزل,تنزيل,10
نزل,تتنزل,1
نزل,نزلت,1
نزل,نزلة,1
نزل,نزلهم,1
نزل,انزلتموه,1
نزل,المنزلون,1
نزل,فنزل,1
نزل,يتنزل,1
قبل,قبلك,33
قبل,قبلكم,18
قبل,قبل,118
قبل,يقبل,6
قبل,قبلهم,52
قبل,تقبل,4
قبل,قبلتهم,2
قبل,القبلة,1
قبل,قبلة,3
قبل,قبلتك,1
قبل,قبله,17
قبل,قبلنا,2
قبل,فتقبل,2
قبل,فتقبلها,1
قبل,بقبول,1
قبل,قبلى,3
قبل,يتقبل,3
قبل,قبلا,2
قبل,وقبيله,1
قبل,واقبلوا,1
قبل,اقبلنا,1
قبل,قبلها,2
قبل,وتقبل,1
قبل,متقبلين,4
قبل,قبيلا,1
قبل,وقبل,2
قبل,تقبلوا,1
قبل,اقبل,1
قبل,واقبل,2
قبل,فاقبل,2
قبل,فاقبلوا,1
قبل,وقابل,1
قبل,نتقبل,1
قبل,مستقبل,1
قبل,وقبائل,1
قبل,فاقبلت,1
أخر,وبالاخرة,1
أخر,الاخر,29
أخر,بالاخرة,21
أخر,الاخرة,71
أخر,اخر,12
أخر,تاخر,2
أخر,والاخرة,19
أخر,الاخرى,5
أخر,واخر,7
أخر,واخرى,3
أخر,اخره,1
أخر,اخرىكم,1
أخر,اخرتنا,1
أخر,اخرين,8
أخر,اخرى,15
أخر,بـاخرين,1
أخر,اخران,1
أخر,فـاخران,1
أخر,واخرنا,1
أخر,يستاخرون,1
أخر,اخرىهم,1
أخر,لاخرىهم,1
أخر,واخرين,3
أخر,واخرون,4
أخر,يستـخرون,4
أخر,اخرنا,2
أخر,نؤخره,1
أخر,ويؤخركم,2
أخر,يؤخرهم,3
أخر,المستـخرين,1
أخر,وللاخرة,2
أخر,اخرتن,1
أخر,اخرون,1
أخر,الاخرين,13
أخر,تستـخرون,1
أخر,للاخرين,1
أخر,والاخرين,1
أخر,والاخر,1
أخر,اخرتنى,1
أخر,يؤخر,2
أخر,يتاخر,1
أخر,واخرت,1
أخر,للاخرة,1
يقن,يوقنون,11
يقن,يقينا,1
يقن,الموقنين,1
يقن,توقنون,1
يقن,اليقين,6
يقن,موقنين,2
يقن,واستيقنتها,1
يقن,يقين,1
يقن,موقنون,1
يقن,بمستيقنين,1
يقن,للموقنين,1
يقن,ليستيقن,1
فلح,المفلحون,12
فلح,تفلحون,11
فلح,يفلح,9
فلح,يفلحون,2
فلح,تفلحوا,1
فلح,افلح,4
فلح,المفلحين,1
كفر,كفروا,189
كفر,بالكفرين,3
كفر,للكفرين,23
كفر,تكفرون,12
كفر,الكفرين,52
كفر,كافرۭ,1
كفر,يكفرون,12
كفر,وتكفرون,1
كفر,بكفرهم,4
كفر,يكفروا,3
كفر,وللكفرين,5
كفر,ويكفرون,1
كفر,يكفر,15
كفر,كفر,20
كفر,تكفر,1
كفر,الكفر,12
كفر,كفارا,2
كفر,كفار,8
كفر,وكفرۢ,1
كفر,كافر,2
كفر,والكفرون,3
كفر,ويكفر,3
كفر,كافرة,1
كفر,واكفروا,1
كفر,بالكفر,4
كفر,كفرا,4
كفر,كفرين,8
كفر,اكفرتم,1
كفر,يكفروه,1
كفر,للكفر,1
كفر,وكفر,2
كفر,لاكفرن,2
كفر,نكفر,2
كفر,تكفروا,4
كفر,والكفرين,1
كفر,ونكفر,1
كفر,الكفرون,17
